Time, Background Direction, Background Speed, SVH: From30, SVH: Current, Pupil Size
0,Clockwise,10,30,22.86768,3.195114
0,Clockwise,10,30,22.82071,3.27845
0,Clockwise,10,30,22.7409,3.147476
0,Clockwise,10,30,22.6963,3.155876
0,Clockwise,10,30,22.6511,3.291374
0,Clockwise,10,30,22.5727,3.235794
0,Clockwise,10,30,22.53176,3.246109
0,Clockwise,10,30,22.48963,3.226463
0,Clockwise,10,30,22.40494,3.23262
0,Clockwise,10,30,22.36364,3.212677
0,Clockwise,10,30,22.3204,3.269218
0,Clockwise,10,30,22.24359,3.261055
0,Clockwise,10,30,22.20026,3.276192
0,Clockwise,10,30,22.1562,3.25396
0,Clockwise,10,30,22.07658,3.203133
0,Clockwise,10,30,22.03431,3.219673
0,Clockwise,10,30,21.98409,3.228874
0,Clockwise,10,30,21.90974,3.241264
0,Clockwise,10,30,21.86635,3.244682
0,Clockwise,10,30,21.8225,3.244087
0,Clockwise,10,30,21.74077,3.267975
0,Clockwise,10,30,21.69828,3.251106
0,Clockwise,10,30,21.65698,3.226303
0,Clockwise,10,30,21.57274,3.275803
0,Clockwise,10,30,21.52893,3.258537
0,Clockwise,10,30,21.49011,3.266617
0,Clockwise,10,30,21.40932,3.26696
0,Clockwise,10,30,21.37052,3.274063
0,Clockwise,10,30,21.32367,3.277168
0,Clockwise,10,30,21.24483,3.278152
0,Clockwise,10,30,21.206,3.278191
0,Clockwise,10,30,21.15709,3.280922
0,Clockwise,10,30,21.07852,3.357399
0,Clockwise,10,30,21.0386,3.343178
0,Clockwise,10,30,20.99186,3.317719
0,Clockwise,10,30,20.90384,3.323067
0,Clockwise,10,30,20.8608,3.319618
0,Clockwise,10,30,20.82154,3.31044
0,Clockwise,10,30,20.74738,3.323433
0,Clockwise,10,30,20.70955,3.327461
0,Clockwise,10,30,20.66482,3.328743
0,Clockwise,10,30,20.58481,3.324097
0,Clockwise,10,30,20.54833,3.317551
0,Clockwise,10,30,20.49848,3.315224
0,Clockwise,10,30,20.41781,3.309013
0,Clockwise,10,30,20.37963,3.319275
0,Clockwise,10,30,20.33035,3.313049
0,Clockwise,10,30,20.24756,3.313889
0,Clockwise,10,30,20.2076,3.316093
0,Clockwise,10,30,20.15668,3.312866
0,Clockwise,10,30,20.08024,3.306137
0,Clockwise,10,30,20.04055,3.305779
0,Clockwise,10,30,19.99357,3.30545
0,Clockwise,10,30,19.91452,3.309097
0,Clockwise,10,30,19.8628,3.308846
0,Clockwise,10,30,19.81883,3.308426
0,Clockwise,10,30,19.74343,3.283981
0,Clockwise,10,30,19.70329,3.278397
0,Clockwise,10,30,19.65904,3.286728
0,Clockwise,10,30,19.58163,3.292152
0,Clockwise,10,30,19.53941,3.312584
0,Clockwise,10,30,19.49809,3.293564
0,Clockwise,10,30,19.41605,3.298515
0,Clockwise,10,30,19.37068,3.321678
0,Clockwise,10,30,19.33116,3.368149
0,Clockwise,10,30,19.24078,3.344742
0,Clockwise,10,30,19.19949,3.356613
0,Clockwise,10,30,19.12731,3.346458
0,Clockwise,10,30,19.08205,3.366013
0,Clockwise,10,30,19.04119,3.296806
0,Clockwise,10,30,18.99531,3.290894
0,Clockwise,10,30,18.91521,3.337006
0,Clockwise,10,30,18.8709,3.324219
0,Clockwise,10,30,18.7956,3.324585
0,Clockwise,10,30,18.75034,3.31543
0,Clockwise,10,30,18.70559,3.324989
